year;iso;pop_urban;pop_total
2005;AFG;5739959;25070796
2005;AGO;7071959;19552544
2005;ALB;1407298;3011487.3
2005;ARE;3767239;4579561.5
2005;ARG;35263821;39145488
2005;AUS;17947424;20394800
2005;AUT;5415886;8227829
2005;BDI;695933;7423285.5
2005;BEL;10608677;10943776
2005;BEN;3191453;7982225
2005;BFA;2890681;13421930
2005;BGD;38452444;143431104
2005;BGR;5406009;7658972.5
2005;BHR;786025;889168.56
2005;BHS;270906;329248.91
2005;BLZ;131188;283276.13
2005;BOL;5857965;9125409
2005;BRA;154831127;186917360
2005;BRB;90256;274009.53
2005;CAF;1571330;4127909
2005;CAN;25889021;32312000
2005;CHE;5464346;7437115
2005;CHL;14119477;16147064
2005;CHN;554367818;1303720064
2005;CIV;8587991;18336304
2005;CMR;8456228;17420794
2005;COG;22787440;58469720
2005;COL;31850002;43285632
2005;CRI;2789515;4247841.5
2005;CUB;8591153;11284252
2005;CYP;701562;1027658.7
2005;CZE;10500952;15584024
2005;DEU;60495445;82469424
2005;DJI;601234;783254.5
2005;DNK;4652908;5419432.5
2005;DOM;6222794;9237566
2005;DZA;21248009;33288436
2005;ECU;8476150;13735233
2005;EGY;33035334;76778144
2005;ESP;33727737;43653156
2005;ETH;12046152;76727080
2005;FIN;4349276;5246096
2005;FJI;409848;821816.31
2005;FRA;48730237;63179360
2005;GAB;1170502;1403126.4
2005;GBR;48269624;60401208
2005;GHA;10191094;21542010
2005;GIN;3175634;9679746
2005;GMB;755925;1444203.6
2005;GNB;564307;1380837.8
2005;GNQ;294263;757316.75
2005;GRC;8180275;10987314
2005;GTM;6177658;13096027
2005;GUY;212525;750945.19
2005;HND;3577293;7373429.5
2005;HTI;4083679;9263404
2005;HUN;6693171;10087066
2005;IDN;104145027;226712720
2005;IND;334483094;1144118656
2005;IRL;2515791;4159913.8
2005;IRN;47575567;70421816
2005;IRQ;18572614;27008426
2005;ISL;276072;296733.56
2005;ISR;39509;76117.906
2005;ITA;39267369;57969488
2005;JAM;1449489;2744672.3
2005;JOR;4638544;5714111
2005;JPN;109856670;127773008
2005;KEN;7813466;36048288
2005;KHM;2544428;13270200
2005;KIR;40208;92323.945
2005;KOR;39195731;48184560
2005;KWT;2235348;2276623.3
2005;LAO;1575798;5754027.5
2005;LBN;3451976;3986852
2005;LBR;1501829;3261230
2005;LBY;4454577;5792688
2005;LKA;3561145;19373002
2005;MAR;16825045;30521070
2005;MDG;5283544;18336726
2005;MEX;82772988;108472232
2005;MLI;4103283;12798762
2005;MLT;378170;403833.66
2005;MMR;14026020;48482616
2005;MNG;1578877;2526445.8
2005;MOZ;6276712;20923070
2005;MRT;1663258;3130721
2005;MUS;511212;1228255
2005;MWI;1962998;13039711
2005;MYS;17087616;25659390
2005;NER;2277005;13618451
2005;NGA;54289212;138939472
2005;NIC;3008820;5379329
2005;NLD;13485107;16319869
2005;NOR;3582588;4623291
2005;NPL;3892965;25640288
2005;NZL;3557304;4133900.5
2005;OMN;1818159;2511269.3
2005;PAK;53452827;153909664
2005;PAN;2120474;3330465.5
2005;PER;20717195;27610410
2005;PHL;40206383;86274240
2005;PNG;827795;6314707.5
2005;POL;23453429;38165444
2005;PRK;14295887;23904166
2005;PRT;6041725;10503329
2005;PRY;3323716;5795494.5
2005;QAT;842800;864862.69
2005;ROM;11336529;21319684
2005;RWA;1733786;8991733
2005;SDN;11517740;39020796
2005;SEN;4626408;11251266
2005;SGP;4265762;4265762
2005;SLE;2084547;5658379.5
2005;SLV;3716734;6028961.5
2005;SOM;3659713;10409924
2005;SUN;175815506;271360672
2005;SUR;332707;498945.75
2005;SWE;7613645;9029572
2005;SYC;42303;82857.695
2005;TCD;2194709;10067010
2005;TGO;1999658;5683268.5
2005;THA;24547636;65425468
2005;TTO;128422;1296929.9
2005;TUN;6576514;10102482
2005;TUR;46026966;67903408
2005;TZA;9791550;39410544
2005;URY;3103428;3325612.3
2005;USA;236200507;295516608
2005;VEN;23720857;26784162
2005;VNM;22477389;82392096
2005;YEM;5955876;20582926
2005;YUG;17725776;33426062
2005;ZAF;28343107;47606672
2005;ZMB;4412535;12052156
2005;ZWE;4413845;12940032
