year;iso;va_ag;pop_urban;pop_total
2005;AFG;2266.79296875;5739959;25070796
2005;AGO;1870.876586914063;7071959;19552544
2005;ALB;1517.435180664063;1407298;3011487.25
2005;ARE;2520.408447265625;3767239;4579561.5
2005;ARG;15917.974609375;35263821;39145488
2005;AUS;20880.9140625;17947424;20394800
2005;AUT;3978.53564453125;5415886;8227829
2005;BDI;456.3197326660156;695933;7423285.5
2005;BEL;3374.815994262695;10608677;10943775.5625
2005;BEN;1187.171264648438;3191453;7982225
2005;BFA;1927.983764648438;2890681;13421930
2005;BGD;11134.2470703125;38452444;143431104
2005;BGR;2160.01025390625;5406009;7658972.5
2005;BHR;51.56547927856445;786025;889168.5625
2005;BHS;157.7678833007813;270906;329248.90625
2005;BLZ;148.2742767333984;131188;283276.125
2005;BOL;1126.100830078125;5857965;9125409
2005;BRA;41471.39453125;154831127;186917360
2005;BRB;60.59999847412109;90256;274009.53125
2005;CAF;606.9465942382813;1571330;4127909
2005;CAN;20039.923828125;25889021;32312000
2005;CHE;3520.198974609375;5464346;7437115
2005;CHL;4637.412109375;14119477;16147064
2005;CHN;273557.90625;554367818;1303720064
2005;CIV;3860.04345703125;8587991;18336304
2005;CMR;3157.74072265625;8456228;17420794
2005;COG;2858.656646728516;22787440;58469719
2005;COL;11323.083984375;31850002;43285632
2005;CRI;13.12982177734375;2789515;4247841.5
2005;CUB;1962.699951171875;8591153;11284252
2005;CYP;511.9108276367188;701562;1027658.6875
2005;CZE;4589.964599609375;10500952;15584023.5
2005;DEU;19646.322265625;60495445;82469424
2005;DJI;22.60284423828125;601234;783254.5
2005;DNK;3029.893798828125;4652908;5419432.5
2005;DOM;2560.987060546875;6222794;9237566
2005;DZA;7937.296875;21248009;33288436
2005;ECU;3935.35693359375;8476150;13735233
2005;EGY;12895.91796875;33035334;76778144
2005;ESP;31385.86328125;33727737;43653156
2005;ETH;5100.13232421875;12046152;76727080
2005;FIN;4665.97021484375;4349276;5246096
2005;FJI;355.5120544433594;409848;821816.3125
2005;FRA;37084.015625;48730237;63179360
2005;GAB;477.4771728515625;1170502;1403126.375
2005;GBR;14396.4072265625;48269624;60401208
2005;GHA;5234.96337890625;10191094;21542010
2005;GIN;586.8658447265625;3175634;9679746
2005;GMB;168.9377746582031;755925;1444203.625
2005;GNB;260.2925109863281;564307;1380837.75
2005;GNQ;130.5195922851563;294263;757316.75
2005;GRC;10615.3134765625;8180275;10987314
2005;GTM;3372.02001953125;6177658;13096027
2005;GUY;310.9679870605469;212525;750945.1875
2005;HND;1216.789794921875;3577293;7373429.5
2005;HTI;919.2725219726563;4083679;9263404
2005;HUN;4156.0859375;6693171;10087066
2005;IDN;36419.296875;104145027;226712720
2005;IND;145011.703125;334483094;1144118656
2005;IRL;2188.879638671875;2515791;4159913.75
2005;IRN;14724.3583984375;47575567;70421816
2005;IRQ;3440.32470703125;18572614;27008426
2005;ISL;805.496337890625;276072;296733.5625
2005;ISR;2226.76220703125;39509;76117.90625
2005;ITA;37589.609375;39267369;57969488
2005;JAM;583.1338500976563;1449489;2744672.25
2005;JOR;347.2530822753906;4638544;5714111
2005;JPN;57639.3046875;109856670;127773008
2005;KEN;4491.96923828125;7813466;36048288
2005;KHM;1932.5986328125;2544428;13270200
2005;KIR;22.75435829162598;40208;92323.9453125
2005;KOR;25509.88671875;39195731;48184560
2005;KWT;243.1506805419922;2235348;2276623.25
2005;LAO;934.1403198242188;1575798;5754027.5
2005;LBN;765.5057983398438;3451976;3986852
2005;LBR;404;1501829;3261230
2005;LBY;1106.32666015625;4454577;5792688
2005;LKA;2189.5634765625;3561145;19373002
2005;MAR;7366.8564453125;16825045;30521070
2005;MDG;1294.102172851563;5283544;18336726
2005;MEX;26436.94921875;82772988;108472232
2005;MLI;1959.555297851563;4103283;12798762
2005;MLT;123.9067153930664;378170;403833.65625
2005;MMR;5570.17431640625;14026020;48482616
2005;MNG;475.7154541015625;1578877;2526445.75
2005;MOZ;1811.9267578125;6276712;20923070
2005;MRT;615.4032592773438;1663258;3130721
2005;MUS;322.9903869628906;511212;1228255
2005;MWI;1203.3212890625;1962998;13039711
2005;MYS;11859.232421875;17087616;25659390
2005;NER;1430.249389648438;2277005;13618451
2005;NGA;46016.8828125;54289212;138939472
2005;NIC;1020.12890625;3008820;5379329
2005;NLD;12144.953125;13485107;16319869
2005;NOR;4334.96337890625;3582588;4623291
2005;NPL;2793.54052734375;3892965;25640288
2005;NZL;5182.8046875;3557304;4133900.5
2005;OMN;502.4346618652344;1818159;2511269.25
2005;PAK;26903.412109375;53452827;153909664
2005;PAN;1006.599975585938;2120474;3330465.5
2005;PER;5214.7529296875;20717195;27610410
2005;PHL;13053.8154296875;40206383;86274240
2005;PNG;1586.013305664063;827795;6314707.5
2005;POL;8847.5185546875;23453429;38165444
2005;PRK;3259.2744140625;14295887;23904166
2005;PRT;4528.89111328125;6041725;10503329
2005;PRY;1579.197387695313;3323716;5795494.5
2005;QAT;59.34317398071289;842800;864862.6875
2005;ROM;8354.9755859375;11336529;21319684
2005;RWA;991.3545532226563;1733786;8991733
2005;SDN;11606.3994140625;11517740;39020795
2005;SEN;1272.23046875;4626408;11251266
2005;SGP;70.17554473876953;4265762;4265762
2005;SLE;815.203125;2084547;5658379.5
2005;SLV;1676.970092773438;3716734;6028961.5
2005;SOM;1222.12939453125;3659713;10409924
2005;SUN;60049.58145141602;175815506;271360679.375
2005;SUR;233.3627166748047;332707;498945.75
2005;SWE;3905.8818359375;7613645;9029572
2005;SYC;29.91270065307617;42303;82857.6953125
2005;TCD;1720.754150390625;2194709;10067010
2005;TGO;828.5589599609375;1999658;5683268.5
2005;THA;17413.66796875;24547636;65425468
2005;TTO;83.81539916992188;128422;1296929.875
2005;TUN;2959.298095703125;6576514;10102482
2005;TUR;45184.85546875;46026966;67903408
2005;TZA;5275.23876953125;9791550;39410544
2005;URY;1518.5263671875;3103428;3325612.25
2005;USA;128600;236200507;295516608
2005;VEN;5377.0068359375;23720857;26784162
2005;VNM;10795.482421875;22477389;82392096
2005;YEM;1807.683715820313;5955876;20582926
2005;YUG;7111.974334716797;17725776;33426062.5
2005;ZAF;6159.77001953125;28343107;47606672
2005;ZMB;1215.498168945313;4412535;12052156
2005;ZWE;683.947998046875;4413845;12940032
